istihdam_turu,gelir,fatura_odeme_skoru,kira_gecmis_ay,eticaret_aylik_ciro,kooperatif_uye_ay,sosyal_ag_skoru,geleneksel_onay,fairloan_onay
ev_kadinı,0.0,61,24,7612.081477128588,94,98,0,1
ev_kadinı,0.0,97,22,4071.022173444174,16,78,0,1
formal,19557.69212781967,55,11,3003.834663696781,8,68,1,1
formal,23409.34364808463,89,33,4862.711605961683,108,31,1,1
ev_kadinı,0.0,86,35,2919.7302846671855,96,68,0,1
formal,24345.83347331446,90,36,9721.532916503835,33,50,1,1
ev_kadinı,0.0,67,2,3504.526041892605,44,69,0,1
ev_kadinı,0.0,60,8,7240.031740616961,87,83,0,1
formal,22988.14808186365,68,52,2038.4328467006553,8,41,1,1
formal,21074.98838629443,91,17,348.6084809853311,6,66,1,1
kooperatif,9837.309343933455,69,42,2103.2280996714644,15,67,0,1
serbest,16546.79227349293,58,34,379.8873720038474,18,44,0,1
serbest,11183.60322895004,94,56,2513.5553643428448,102,36,0,1
ev_kadinı,0.0,70,54,1844.4505641075923,5,79,0,0
kooperatif,12321.86475949254,82,33,2728.276486879956,113,94,0,1
kooperatif,9302.823735431477,70,40,28.27381925338761,114,96,0,1
ev_kadinı,0.0,58,13,606.8016477043639,10,73,0,1
serbest,15065.973680306966,99,3,1892.6786251760286,75,60,0,1
formal,27186.96490465451,80,28,8416.39277721694,60,72,1,1
ev_kadinı,0.0,82,40,1354.8467576597466,41,77,0,1
ev_kadinı,0.0,86,44,1546.422375458798,12,90,0,1
serbest,15816.256459422257,99,49,3511.760875007576,11,39,0,1
ev_kadinı,0.0,56,14,2592.2900204202447,84,58,0,1
formal,28289.114852609604,85,27,994.3977347806979,73,77,1,1
serbest,16004.934578206385,57,41,1481.248780506498,19,91,0,1
formal,21244.03181411803,62,15,687.4468248870829,49,42,1,1
serbest,16265.262338221355,78,11,9469.673092639285,35,73,0,1
formal,18853.232067057023,69,51,391.9762210397115,91,76,1,1
formal,24488.518675994354,97,4,1301.8746974635683,87,93,1,1
formal,23850.465042099928,85,33,73.30025567664875,68,82,1,1
ev_kadinı,0.0,63,41,702.0870235986291,36,73,0,1
ev_kadinı,0.0,93,0,4245.560387860919,11,57,0,1
ev_kadinı,0.0,99,38,628.9182809644972,98,31,0,1
kooperatif,9083.76628545492,56,31,233.66147589738046,39,86,0,1
serbest,14550.118709963743,62,25,1801.2847894696524,53,86,0,1
formal,15531.679295260625,61,16,28.05392886971425,1,63,0,0
ev_kadinı,0.0,98,47,248.0118967923048,49,87,0,1
formal,21530.73791516567,93,58,4615.276979540442,40,81,1,1
kooperatif,9685.68980228223,96,26,4133.086783722639,44,58,0,1
formal,24719.353763988303,70,23,6906.867908696546,102,64,1,1
kooperatif,7444.649718148084,89,34,5397.5188028498,105,77,0,1
formal,29695.68528389115,84,45,3218.340960180542,8,62,1,1
ev_kadinı,0.0,64,41,150.5054703000273,61,38,0,1
serbest,11968.388031249247,92,53,4276.049555948188,85,77,0,1
kooperatif,11438.914401053473,72,38,5229.367242877759,46,96,0,1
formal,25922.37462842258,59,25,4493.605591692903,4,65,1,1
ev_kadinı,0.0,83,48,1988.701920223102,75,73,0,1
kooperatif,8207.545380312395,93,37,742.3934137296682,0,89,0,1
serbest,21213.58812413329,88,22,5226.091658901489,43,92,0,1
ev_kadinı,0.0,97,21,3636.864096243264,21,34,0,1
ev_kadinı,0.0,99,3,11062.309648681556,37,69,0,1
serbest,10822.27108885232,77,48,473.86816408428166,114,48,0,1
ev_kadinı,0.0,59,58,716.1004032945442,18,76,0,1
ev_kadinı,0.0,84,8,666.4029874701615,79,94,0,1
ev_kadinı,0.0,60,3,4403.883704824757,30,96,0,1
formal,28136.193781245005,98,6,579.3484183990571,114,47,1,1
formal,28502.6204311934,58,22,193.15952970850373,66,79,1,1
kooperatif,8158.759581846711,83,1,18322.282863454628,86,59,0,1
ev_kadinı,0.0,77,48,70.36498032127642,41,95,0,1
serbest,19873.62855022515,60,23,5049.212147239391,81,34,0,1
ev_kadinı,0.0,86,39,1273.182820710153,25,71,0,1
formal,22874.790684304713,96,54,5159.642330769102,12,34,1,1
formal,25299.121331759357,72,30,2264.7198882803573,57,79,1,1
serbest,15911.126435699272,69,46,6493.289314753379,17,87,0,1
serbest,14529.919404853083,94,30,7297.644247205463,66,37,0,1
ev_kadinı,0.0,86,46,25.5915029927412,86,60,0,1
formal,27648.63722921902,63,39,219.54026204555862,2,41,1,0
kooperatif,11086.977441104425,91,47,806.8493803190886,54,50,0,1
kooperatif,6002.936053523638,64,50,3098.4527768564244,88,91,0,1
ev_kadinı,0.0,74,42,6136.731136811764,90,62,0,1
serbest,19565.190850073534,60,33,1725.0202132729935,57,55,0,1
formal,16518.786053839467,57,54,2614.856336471913,107,69,0,1
ev_kadinı,0.0,96,23,584.8379897627528,62,94,0,1
ev_kadinı,0.0,65,48,4576.839826223789,90,88,0,1
formal,28646.457919537457,97,59,9579.472686641007,51,44,1,1
ev_kadinı,0.0,71,25,875.8212800542967,102,30,0,1
ev_kadinı,0.0,86,15,1911.9863246094794,88,40,0,1
kooperatif,11753.410273655167,58,56,252.1449032554151,23,84,0,1
ev_kadinı,0.0,58,46,2293.256924443579,71,31,0,1
ev_kadinı,0.0,71,12,1956.44292787377,8,94,0,1
serbest,11181.617494246806,95,14,436.78584399951325,109,73,0,1
kooperatif,8678.37142409083,73,26,1633.8419584020398,36,45,0,1
ev_kadinı,0.0,59,3,1138.543716950912,93,51,0,1
formal,19024.32899181329,86,15,2065.814216805136,116,47,1,1
formal,23032.85536370069,76,29,2466.9532018498094,82,76,1,1
serbest,13921.880005349905,60,43,23.889240859163717,52,59,0,1
ev_kadinı,0.0,89,29,4007.6869297519643,79,39,0,1
kooperatif,11059.321064538679,76,35,3495.304013292329,23,87,0,1
formal,29896.38935753824,55,2,1277.2427916012184,107,91,1,1
ev_kadinı,0.0,74,21,152.28790698709403,20,35,0,1
serbest,19884.893337764846,76,48,3937.420923863117,99,96,0,1
kooperatif,8375.663946843395,65,21,8693.979950881943,39,70,0,1
ev_kadinı,0.0,67,49,768.981735335117,102,72,0,1
ev_kadinı,0.0,96,56,1094.4058047317146,110,47,0,1
serbest,14267.723441894153,57,49,568.7126149547382,61,87,0,1
serbest,9107.966327226673,63,54,2408.6498875473308,69,89,0,1
formal,20373.58470076715,66,59,471.0467176690358,68,56,1,1
formal,28341.83234893856,77,48,1233.0017074956697,13,97,1,1
ev_kadinı,0.0,68,11,3343.383189085109,116,51,0,1
ev_kadinı,0.0,87,54,2299.4837167857586,108,53,0,1
kooperatif,12731.165647096463,72,20,1367.83919118683,41,69,0,1
kooperatif,7031.302256240157,95,55,1526.4413248334924,49,95,0,1
ev_kadinı,0.0,63,3,2312.2107605220144,60,69,0,1
ev_kadinı,0.0,77,30,16.46958023221181,3,35,0,1
kooperatif,8315.07148169421,64,43,228.93699093745735,71,47,0,1
ev_kadinı,0.0,73,30,5966.247776810409,87,59,0,1
formal,23881.17409368483,59,57,227.0206841385176,74,50,1,1
serbest,15980.564055868625,77,22,3435.355208400012,16,91,0,1
formal,20356.784160352592,84,53,7073.376266590525,113,39,1,1
kooperatif,10348.12208892818,79,52,883.8133579141618,84,42,0,1
ev_kadinı,0.0,82,19,1295.8843039110693,56,38,0,1
formal,21867.72293818088,88,14,2356.1015869277076,89,97,1,1
ev_kadinı,0.0,99,22,5976.900529580714,106,68,0,1
ev_kadinı,0.0,79,27,7967.920200858341,47,53,0,1
serbest,14949.417051926022,64,15,3767.1066784989634,43,63,0,1
formal,26458.27911601665,68,36,253.68843600353478,44,90,1,1
ev_kadinı,0.0,96,20,3097.0876685863122,90,70,0,1
serbest,15022.477944338283,84,14,1478.8134408979856,79,34,0,1
ev_kadinı,0.0,95,16,1781.3650076493193,118,79,0,1
serbest,13472.64938315701,79,49,141.11234123406044,89,33,0,1
ev_kadinı,0.0,68,36,593.6928898413908,116,80,0,1
ev_kadinı,0.0,89,12,4376.670183640602,32,81,0,1
ev_kadinı,0.0,88,18,1694.1705444474358,30,68,0,1
ev_kadinı,0.0,64,29,1005.3467164935897,111,37,0,1
serbest,14616.365686259593,89,44,1356.7099844391719,46,74,0,1
formal,23602.36668357599,65,17,5395.288641908852,5,57,1,1
formal,22334.950365530425,65,13,3870.435590382839,107,56,1,1
ev_kadinı,0.0,75,35,890.085175129363,71,94,0,1
ev_kadinı,0.0,75,35,349.996011129365,70,63,0,1
ev_kadinı,0.0,76,19,812.9797858820357,33,91,0,1
formal,22835.41771799804,99,51,7098.641958406811,107,91,1,1
formal,31193.912267271226,61,18,2439.6139275421738,52,67,1,1
formal,26524.137515735572,71,44,2134.8735369087403,13,55,1,1
serbest,13965.818886897938,56,43,2540.482371229579,15,53,0,1
ev_kadinı,0.0,66,6,1276.1025444584695,42,68,0,1
serbest,17439.340415787574,96,56,4607.735309245569,115,50,0,1
serbest,13831.631785853966,72,43,2074.3494004315744,72,76,0,1
ev_kadinı,0.0,65,52,347.60493123353723,73,77,0,1
formal,29279.060869139885,70,3,386.92661030151737,80,42,1,1
serbest,16293.74767269333,72,58,2155.227345444261,11,32,0,1
ev_kadinı,0.0,89,33,7721.900987692024,69,61,0,1
serbest,14624.442495985199,80,1,1032.2992378260678,18,64,0,1
ev_kadinı,0.0,70,4,5702.753202093238,106,48,0,1
ev_kadinı,0.0,60,54,4044.120034861422,40,43,0,1
kooperatif,10395.433851620555,98,9,797.3548102856214,52,77,0,1
formal,16931.057315691753,97,31,103.64905660234105,28,97,0,1
ev_kadinı,0.0,96,41,300.7623969898709,69,74,0,1
serbest,11056.313858815682,66,40,3650.5582309123183,58,48,0,1
formal,18627.33747120425,67,12,623.6462653535087,88,93,1,1
serbest,15500.300831672974,58,38,1299.3535276158211,63,95,0,1
kooperatif,12965.029998970183,93,4,1950.3436400518683,23,95,0,1
serbest,22809.550511674213,56,57,3619.526575911194,88,74,0,1
formal,26871.229956483407,80,9,336.4788301483765,15,96,1,1
ev_kadinı,0.0,81,9,1460.1803827727583,51,98,0,1
formal,26253.800137250055,81,37,1858.44388657594,79,32,1,1
formal,15895.240196312676,69,26,2179.319444214916,5,67,0,0
formal,21557.967901196902,62,59,4776.049890899908,36,71,1,1
formal,20454.973116412926,61,50,527.3899309659995,84,69,1,1
formal,21206.185807869977,94,20,4618.270823527451,3,79,1,1
formal,23243.352816368446,66,7,3305.432504624695,97,64,1,1
ev_kadinı,0.0,67,0,2272.5914396049866,91,53,0,1
formal,21875.592400362926,97,27,3366.720773001847,37,46,1,1
formal,15093.150853308955,71,48,1486.9637995063933,40,69,0,1
ev_kadinı,0.0,71,38,417.09178375963825,91,95,0,1
serbest,17617.685896411367,90,13,3068.5526464552813,80,73,0,1
ev_kadinı,0.0,75,20,2082.502330002982,13,52,0,1
formal,19172.65638417087,62,29,2855.765048170445,70,35,1,1
formal,25076.610888500174,59,20,1154.9660687603705,85,95,1,1
formal,33333.37201387488,80,48,6646.422052758273,50,50,1,1
formal,19862.769337861093,70,8,2478.570227945905,64,64,1,1
formal,12613.706147641517,90,16,249.959315259641,92,58,0,1
formal,22712.9810015395,82,4,1672.945914378699,51,36,1,1
formal,28954.31835749357,83,57,3953.73260847661,94,82,1,1
formal,32812.56354399267,66,56,4425.491100579475,29,66,1,1
serbest,10696.576419416542,91,30,1910.7179071475077,56,52,0,1
formal,26235.14650456435,84,51,6303.902434755371,78,37,1,1
serbest,13371.413401269812,77,39,872.2613561794117,81,77,0,1
serbest,14629.180759935525,70,37,1480.2143954149142,98,39,0,1
ev_kadinı,0.0,68,42,6408.224817477142,113,53,0,1
formal,35899.54506157666,64,18,6344.340405318506,29,76,1,1
ev_kadinı,0.0,61,35,3240.854294260145,97,82,0,1
ev_kadinı,0.0,99,49,5484.800816454074,41,68,0,1
formal,17236.63352222181,91,32,260.2978811893514,10,96,0,1
ev_kadinı,0.0,83,12,5606.841206289046,26,95,0,1
ev_kadinı,0.0,57,13,1082.4086668544564,23,35,0,1
formal,25141.82847672558,69,55,549.9711421797812,98,50,1,1
formal,26104.61927294445,90,32,766.1024743663851,38,65,1,1
ev_kadinı,0.0,73,28,1515.446023763881,71,32,0,1
ev_kadinı,0.0,67,42,809.9634935397726,114,71,0,1
formal,28886.03846222706,96,48,1082.1930410875332,17,74,1,1
formal,24440.92419061903,75,35,406.00252214500534,76,73,1,1
serbest,16078.17688826436,91,57,983.4385170220329,44,62,0,1
serbest,13629.230014023731,81,43,2378.0271800576843,87,89,0,1
ev_kadinı,0.0,83,9,1632.7757014297515,114,99,0,1
serbest,15941.944294357876,74,30,1192.0931545330996,86,55,0,1
serbest,13798.827035759063,79,5,3842.16737234047,11,50,0,1
ev_kadinı,0.0,60,56,6271.170993702477,48,31,0,1
formal,26797.07350435223,90,0,3958.7150852151076,93,76,1,1
formal,22336.753487803646,56,6,1129.7108382571585,30,59,1,1
ev_kadinı,0.0,76,57,3820.0583287413374,91,56,0,1
ev_kadinı,0.0,86,26,461.5835664700554,21,49,0,1
serbest,16319.851378657653,70,20,390.95738555837596,43,79,0,1
serbest,14897.580152102575,72,27,1187.4178688719787,91,52,0,1
formal,29067.22612847476,59,15,4616.390648758465,63,42,1,1
serbest,14820.121967440298,90,55,791.9096753019376,76,33,0,1
serbest,8794.386361275916,84,45,182.95894507746567,24,43,0,1
formal,29678.64675321296,99,22,395.44115363528925,107,49,1,1
formal,19924.204646118214,73,51,5480.127207969343,50,42,1,1
serbest,12711.817814729131,77,19,2812.6840073829276,109,32,0,1
formal,21319.524176804287,88,37,817.4863903427013,6,76,1,1
formal,30184.971419268677,67,53,2268.9687829083396,108,32,1,1
formal,14389.46603709587,97,24,2099.680966089803,5,30,0,1
formal,38119.86840146997,83,27,2983.331026830466,23,53,1,1
formal,28752.255640797233,90,4,743.4365047254738,18,64,1,1
ev_kadinı,0.0,76,55,5594.590212891971,82,43,0,1
ev_kadinı,0.0,90,20,1036.4171228442451,99,96,0,1
ev_kadinı,0.0,63,17,3316.881431815568,114,42,0,1
ev_kadinı,0.0,93,46,45.516976669075945,8,76,0,1
serbest,15781.336199452058,73,5,1305.5337275088616,111,79,0,1
formal,23752.97699722671,92,56,1213.567239011894,35,55,1,1
serbest,15999.439262001799,60,28,2195.57091344191,101,32,0,1
ev_kadinı,0.0,69,18,211.4482905600245,39,80,0,1
ev_kadinı,0.0,74,32,4371.565892957669,92,69,0,1
serbest,16823.928499327685,63,0,687.7367645953848,23,97,0,1
formal,26903.470136775257,86,44,3164.616102343587,47,65,1,1
formal,26500.220097015517,58,2,4551.760914712265,62,80,1,1
serbest,15313.532384393371,72,41,2310.715361454664,68,30,0,1
ev_kadinı,0.0,59,20,3781.333862957884,52,62,0,1
ev_kadinı,0.0,74,34,3036.0293359321313,53,36,0,1
serbest,14309.315528924359,77,40,1230.114733809031,41,81,0,1
kooperatif,9197.453432692977,65,39,4633.276176863343,118,40,0,1
ev_kadinı,0.0,91,2,977.5751357216042,44,56,0,1
formal,23122.912738412935,76,24,2371.025426091487,89,43,1,1
formal,29101.96543590179,58,44,3830.547596000082,13,75,1,1
formal,26671.00525026388,83,37,1333.7889624565294,102,39,1,1
formal,10768.25114401074,98,44,1009.7822160736386,28,53,0,1
formal,26951.553494383923,88,54,1721.9321838094015,115,90,1,1
formal,24876.312876234486,67,19,4769.9344882553405,5,47,1,1
formal,23915.810595993462,96,51,7442.800376795042,6,38,1,1
formal,22251.666961100014,63,43,2205.395365051351,36,46,1,1
ev_kadinı,0.0,96,44,3032.7677941422876,52,87,0,1
formal,29058.507239937062,85,33,6540.433576296759,17,42,1,1
serbest,18316.342617430004,61,20,290.4921829523195,86,79,0,1
serbest,12294.928162617369,58,55,739.3900247969109,107,35,0,1
kooperatif,10314.10457424907,73,54,3455.4476591775865,37,80,0,1
formal,19627.544694564214,96,47,4860.2971648258335,58,65,1,1
serbest,10171.336423238743,84,22,5446.318261012426,0,54,0,1
kooperatif,8246.565550820069,85,5,1501.7146391352032,67,40,0,1
ev_kadinı,0.0,89,50,262.03956894311585,114,73,0,1
ev_kadinı,0.0,75,52,1612.4210878599158,43,43,0,1
formal,27880.770625722413,85,12,734.493851701691,46,58,1,1
formal,28289.06270419239,73,48,963.6952592068899,34,79,1,1
ev_kadinı,0.0,85,22,4142.834735237306,86,34,0,1
ev_kadinı,0.0,86,8,219.8882745110026,90,98,0,1
ev_kadinı,0.0,56,16,4921.921142205647,59,86,0,1
ev_kadinı,0.0,64,1,1562.5062140655734,89,55,0,1
formal,26308.88439043782,56,18,2538.1962447564742,51,35,1,1
ev_kadinı,0.0,56,18,263.00004919951743,7,45,0,1
formal,27262.931040815987,78,55,1152.2616891189348,106,89,1,1
formal,26322.802292017313,71,6,263.1498045260029,79,41,1,1
serbest,12754.814416719668,86,53,9123.053358405301,40,32,0,1
serbest,16511.728906358792,70,41,4609.980776395097,2,92,0,1
formal,27601.84286352457,70,41,1723.4176009439975,95,93,1,1
formal,27394.310984161086,93,58,708.6539877845503,68,91,1,1
ev_kadinı,0.0,85,19,7587.659660221574,83,35,0,1
formal,29350.110171635893,97,8,1183.0121759107008,13,48,1,1
ev_kadinı,0.0,78,16,491.4728472957751,95,47,0,1
formal,27187.367312404785,55,26,2318.9553229078174,25,72,1,1
serbest,16230.06872639554,65,46,8059.458780775672,110,32,0,1
serbest,18745.525834107495,75,1,10.745405575839792,69,67,0,1
formal,23880.65433337923,58,35,761.5232044264851,57,97,1,1
formal,20031.56406947527,61,18,7806.027854642182,99,73,1,1
formal,23266.198662253064,80,16,525.3887203314963,39,92,1,1
formal,20647.938098370978,66,4,336.51744190707035,50,71,1,1
kooperatif,8149.643450051237,85,38,2364.3355419132154,4,93,0,1
formal,23349.66598178017,71,17,5542.237451735701,76,83,1,1
ev_kadinı,0.0,87,52,1815.474677619629,31,66,0,1
formal,20434.110355500176,65,53,14601.325208913866,79,33,1,1
ev_kadinı,0.0,82,58,3183.1777277524384,0,31,0,1
ev_kadinı,0.0,86,6,215.49343458668676,76,73,0,1
ev_kadinı,0.0,55,16,13826.811528010738,53,96,0,1
serbest,13922.13464626336,82,38,1467.3960167085975,10,97,0,1
serbest,8372.34866566175,96,35,948.7480284576797,52,91,0,1
formal,24959.821683178223,61,39,2285.281863014003,7,30,1,1
ev_kadinı,0.0,56,44,1015.9734440921566,24,46,0,1
ev_kadinı,0.0,96,3,253.19108551361265,39,45,0,1
kooperatif,9502.410950724448,78,37,4.002219573928091,31,38,0,1
formal,20323.101160193142,58,24,1671.8232927181846,87,82,1,1
ev_kadinı,0.0,98,4,5076.86907998938,27,88,0,1
kooperatif,10818.49133686481,73,29,2378.2325551897407,77,38,0,1
formal,28219.065619319514,80,11,19992.180278730106,108,41,1,1
formal,16765.98061033962,65,3,946.5646356632678,2,70,0,0
ev_kadinı,0.0,94,23,921.5816433010185,99,44,0,1
ev_kadinı,0.0,97,28,487.3544759710963,90,95,0,1
ev_kadinı,0.0,65,8,501.7676476643012,83,40,0,1
formal,20567.738496452035,99,3,940.0544826070998,110,37,1,1
ev_kadinı,0.0,57,50,4407.939356716669,78,84,0,1
formal,20538.85942595716,66,23,6613.254212439743,61,35,1,1
formal,19770.43604501011,57,13,10338.642539218075,26,82,1,1
formal,27732.636788692867,96,4,740.1597580895253,116,49,1,1
ev_kadinı,0.0,81,17,5967.178841011292,44,68,0,1
ev_kadinı,0.0,56,41,1114.054501456718,104,63,0,1
serbest,14321.608514295187,70,56,335.2455215216921,91,86,0,1
serbest,14074.198055412862,56,18,5713.155228705457,24,48,0,1
ev_kadinı,0.0,84,11,2830.496643878179,105,60,0,1
serbest,7986.4817245763625,74,17,504.00371254780543,60,69,0,1
ev_kadinı,0.0,92,16,1573.1041830383613,43,43,0,1
serbest,17223.96310573229,82,29,948.1789724036356,109,66,0,1
serbest,10662.595618012845,79,23,3737.4972436041257,96,73,0,1
serbest,15209.76420593215,86,10,1691.3895592064134,45,38,0,1
formal,25248.196220811864,64,34,12699.789207502728,13,87,1,1
ev_kadinı,0.0,96,22,157.64147798366707,7,49,0,1
serbest,19762.305085435277,94,16,1227.8801665053159,47,79,0,1
formal,18110.308203963996,87,0,1841.2445175748771,13,49,1,1
ev_kadinı,0.0,67,14,1958.4152303108217,64,65,0,1
serbest,4431.707454627111,95,31,1063.169908750525,79,56,0,1
serbest,15643.473406637931,96,59,3658.2654621411525,81,61,0,1
ev_kadinı,0.0,91,8,5816.776487011397,6,30,0,1
ev_kadinı,0.0,70,14,7818.413016159217,78,46,0,1
formal,32102.300316798843,99,27,4578.6571333676,87,38,1,1
kooperatif,11977.892705878874,76,23,5322.787307371944,48,74,0,1
ev_kadinı,0.0,74,59,2239.216588479771,114,95,0,1
formal,24943.467368735815,97,34,4894.561865608571,54,61,1,1
formal,21787.637164655785,81,21,1012.740675346123,12,74,1,1
ev_kadinı,0.0,95,26,1423.221620734526,72,38,0,1
ev_kadinı,0.0,70,18,1067.1725919220012,55,59,0,1
serbest,17824.929088230587,88,44,1763.8903160315358,55,67,0,1
ev_kadinı,0.0,86,11,941.5944079534175,14,89,0,1
ev_kadinı,0.0,80,19,9127.988349670844,56,30,0,1
formal,19619.04210132989,79,0,1050.5455862214096,57,34,1,1
formal,26143.609962102986,56,20,288.9323841648353,34,92,1,1
formal,26274.61571624982,66,48,2095.1655873633613,87,65,1,1
ev_kadinı,0.0,94,44,164.62339361657698,96,94,0,1
formal,28770.94458374496,63,0,328.00404500486843,15,53,1,1
ev_kadinı,0.0,66,9,693.500727331195,7,33,0,1
ev_kadinı,0.0,80,46,1747.9693917737059,92,97,0,1
ev_kadinı,0.0,63,58,1589.94817689446,86,54,0,1
formal,36418.47017509985,64,58,4502.115542661019,44,36,1,1
ev_kadinı,0.0,86,31,3766.1543488021407,94,42,0,1
formal,25765.87185230445,88,38,1555.9055557156626,39,97,1,1
ev_kadinı,0.0,74,59,1136.86040795653,112,72,0,1
formal,21709.663684316256,93,21,1065.3522687891648,53,86,1,1
serbest,14910.48990732802,56,17,4164.15591846515,118,65,0,1
ev_kadinı,0.0,55,47,149.73604104085487,13,43,0,1
formal,16039.158427998967,90,45,36.13275760884388,58,56,0,1
formal,20873.79091009924,78,31,4444.732326998586,116,66,1,1
ev_kadinı,0.0,81,26,1815.670448755481,93,54,0,1
ev_kadinı,0.0,56,27,392.7710738003061,52,96,0,1
ev_kadinı,0.0,85,17,752.134607600089,102,33,0,1
ev_kadinı,0.0,68,58,7547.92149222799,26,45,0,1
serbest,13567.511466604135,56,38,5495.193113921022,46,48,0,1
formal,21641.602209294335,83,48,3463.973588417953,79,58,1,1
formal,24685.59692415175,69,28,1843.001828863736,114,80,1,1
formal,20299.110304280097,66,17,2057.0021463644853,5,47,1,0
ev_kadinı,0.0,91,43,10356.385249648727,54,87,0,1
ev_kadinı,0.0,82,7,9449.064223820687,96,73,0,1
serbest,18923.60733563565,74,53,678.7601896079537,43,45,0,1
serbest,15000.72472721369,93,30,4666.372698126903,17,94,0,1
kooperatif,9481.399357722772,78,33,615.1678684693554,15,31,0,1
formal,22524.47377569187,75,6,672.5885854596371,11,85,1,1
ev_kadinı,0.0,64,35,3156.437051337824,19,57,0,1
serbest,15543.167393506426,68,17,1453.7480154507502,44,94,0,1
ev_kadinı,0.0,91,59,7508.396064021731,63,34,0,1
formal,27712.942191004357,72,37,261.0245896283166,103,51,1,1
ev_kadinı,0.0,78,58,2006.111233671214,58,42,0,1
kooperatif,7765.739568578199,68,8,7020.766118386942,92,94,0,1
ev_kadinı,0.0,88,58,6564.856906386147,93,45,0,1
ev_kadinı,0.0,66,8,476.64403126259765,89,93,0,1
ev_kadinı,0.0,76,45,1278.7954671850396,21,61,0,1
ev_kadinı,0.0,60,7,2702.768851786117,96,80,0,1
formal,21038.475799161344,90,50,486.1731594114094,116,87,1,1
ev_kadinı,0.0,99,34,9639.594979732352,102,75,0,1
ev_kadinı,0.0,90,17,6894.046008324076,46,81,0,1
serbest,13936.958899281673,76,4,511.4531226602457,28,92,0,1
ev_kadinı,0.0,68,13,361.61232363655705,85,89,0,1
kooperatif,6808.25815305357,70,27,249.97767951658116,44,94,0,1
ev_kadinı,0.0,90,29,6724.9927503198605,76,84,0,1
serbest,12132.597490974758,79,3,602.5737427835231,8,86,0,1
formal,21857.006069049035,86,38,1507.3584583531344,23,55,1,1
kooperatif,11248.778361425455,87,19,1668.102106716142,14,41,0,1
ev_kadinı,0.0,99,24,2558.6999024567863,35,75,0,1
formal,25181.52598050866,90,27,208.42751139702762,12,76,1,1
ev_kadinı,0.0,74,11,720.0592332367946,90,67,0,1
ev_kadinı,0.0,72,1,7506.187378508788,43,50,0,1
serbest,15677.564689786404,92,42,6693.216193300104,100,43,0,1
ev_kadinı,0.0,57,13,4256.032445622197,70,31,0,1
serbest,17978.142867587903,77,21,54.85737607586686,71,99,0,1
formal,23381.826952202715,86,30,1108.856018448442,100,62,1,1
formal,25757.091824680003,99,22,2768.5014122172956,104,35,1,1
ev_kadinı,0.0,70,47,901.1688549276306,77,66,0,1
formal,23535.502111803766,59,19,6729.41876265416,75,43,1,1
formal,25194.130572298327,58,37,2813.4959281167976,35,66,1,1
serbest,12960.344698359462,75,54,208.94448712089684,115,37,0,1
serbest,6464.139946032497,94,3,6711.480132359155,60,42,0,1
ev_kadinı,0.0,68,14,8860.726782002512,103,69,0,1
formal,23395.743770161633,93,23,226.51494158023306,80,87,1,1
formal,30402.366612449732,85,24,2128.159633797091,39,47,1,1
ev_kadinı,0.0,68,0,1012.1794141453178,116,86,0,1
serbest,18241.753907845574,60,6,1397.0919484987576,92,67,0,1
formal,28344.28868066027,66,56,554.4719185601019,26,61,1,1
serbest,19326.457526321763,70,30,2416.178344701266,0,95,0,1
formal,24398.959159326467,71,11,8874.86373809583,115,54,1,1
formal,24887.92068332518,99,41,1958.07175357092,33,87,1,1
serbest,12838.218365979774,77,4,242.35305080931192,67,62,0,1
serbest,13893.745003905326,68,43,2709.2450991730248,87,95,0,1
ev_kadinı,0.0,61,49,1164.389440013563,20,59,0,1
serbest,17155.199024198995,86,41,5424.783273227171,32,63,0,1
ev_kadinı,0.0,69,37,1597.0081708747534,6,98,0,0
ev_kadinı,0.0,98,59,599.8520659558787,64,77,0,1
formal,29417.47996725967,71,11,593.8434040449964,104,69,1,1
ev_kadinı,0.0,95,38,4100.088234220512,2,80,0,1
formal,23372.491759435503,98,17,864.3167483497506,107,42,1,1
kooperatif,8599.621470297177,88,1,4081.6132535228467,50,60,0,1
formal,24002.375814854688,59,9,645.4837250928939,78,68,1,1
serbest,17104.223621251902,99,14,1086.8074418988472,94,92,0,1
formal,17502.65332739906,81,29,1753.91769127462,53,77,0,1
kooperatif,4907.6380937255235,77,43,8030.8084840120155,79,77,0,1
serbest,13073.121026779458,94,57,7516.056008070559,73,90,0,1
ev_kadinı,0.0,68,16,648.9574026414006,117,41,0,1
formal,18506.794083386285,69,3,1241.8230138892065,92,85,1,1
ev_kadinı,0.0,97,6,453.0752161717946,58,47,0,1
formal,21713.3691105871,87,40,1997.2944262892602,5,56,1,1
ev_kadinı,0.0,85,30,1728.3434541169638,28,57,0,1
formal,23334.98856532138,89,50,6468.604119902419,16,81,1,1
formal,21960.38215939644,71,59,7446.143223318146,116,45,1,1
formal,30536.103905118354,82,58,1354.6575689111912,59,87,1,1
serbest,16143.60667610812,73,54,1894.922691801851,21,38,0,1
ev_kadinı,0.0,77,38,6343.788052849061,23,55,0,1
formal,25352.13461824873,86,54,4601.946399220761,80,57,1,1
ev_kadinı,0.0,94,33,10.256433569353591,84,65,0,1
serbest,17177.725004151907,67,5,1080.1002213014115,50,38,0,1
serbest,11014.084087767307,74,49,1533.8145247112363,49,76,0,1
serbest,18636.89125597094,89,37,730.7898339030419,10,80,0,1
